time,round,batch_num,client_id,epoch,train_loss,train_acc,batch_size
2025-10-05 15:32:35,3,50,14,2,1.5310099124908447,0.4375,32
2025-10-05 15:32:23,3,93,9,2,1.3290581703186035,0.59375,32
2025-10-05 15:32:43,3,20,15,2,1.407439947128296,0.5,32
2025-10-05 15:32:29,3,103,12,1,1.247572898864746,0.65625,32
2025-10-05 15:32:23,3,94,9,2,1.037175178527832,0.6875,32
2025-10-05 15:32:35,3,51,14,2,1.6779075860977173,0.40625,32
2025-10-05 15:32:29,3,104,12,1,1.0885287523269653,0.59375,32
2025-10-05 15:32:43,3,21,15,2,1.184502363204956,0.5625,32
2025-10-05 15:32:35,3,52,14,2,1.5016841888427734,0.4375,32
2025-10-05 15:32:23,3,95,9,2,1.4585456848144531,0.53125,32
2025-10-05 15:32:43,3,22,15,2,1.3229503631591797,0.34375,32
2025-10-05 15:32:29,3,105,12,1,0.8735710382461548,0.65625,32
2025-10-05 15:32:35,3,53,14,2,1.53560471534729,0.40625,32
2025-10-05 15:32:23,3,96,9,2,1.5876071453094482,0.46875,32
2025-10-05 15:32:43,3,23,15,2,1.1740009784698486,0.5625,32
2025-10-05 15:32:29,3,106,12,1,1.0268031358718872,0.5625,32
2025-10-05 15:32:23,3,97,9,2,1.1016998291015625,0.59375,32
2025-10-05 15:32:35,3,54,14,2,1.469874382019043,0.4375,32
2025-10-05 15:32:43,3,24,15,2,1.2211132049560547,0.46875,32
2025-10-05 15:32:29,3,107,12,1,0.7647913098335266,0.71875,32
2025-10-05 15:32:35,3,55,14,2,1.8012259006500244,0.4375,32
2025-10-05 15:32:23,3,98,9,2,1.172009825706482,0.625,32
2025-10-05 15:32:43,3,25,15,2,1.3575189113616943,0.46875,32
2025-10-05 15:32:29,3,108,12,1,0.757421612739563,0.6875,32
2025-10-05 15:32:23,3,99,9,2,1.4373862743377686,0.5,32
2025-10-05 15:32:35,3,56,14,2,1.4912900924682617,0.375,32
2025-10-05 15:32:29,3,109,12,1,0.934222936630249,0.75,32
